label	sentence
neutral	The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .
neutral	The sellers were EOSS Innovationsmanagement and a group of private individuals .
neutral	No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .
neutral	The company said that it has agreed to a EUR160m unsecured credit line from lenders .
neutral	Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move .
neutral	The contract has been allotted as per lowest price criteria .
negative	At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .
neutral	Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .
neutral	The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .
negative	Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .
positive	Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .
positive	LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .
positive	In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .
neutral	The company is presently examining whether the project would be financially feasible .
neutral	Look out for vintage fabric cushion covers , '70s coffee pots , ceramic serving dishes , cocktail glasses , and stainless steel party dishes .
positive	Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .
neutral	We are now taking Marimekko there on a distinctly more significant scale .
neutral	The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .
neutral	The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .
negative	As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .
positive	The company expects its net sales in 2008 to increase 5-10 % from 2007 .
negative	Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .
negative	According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .
neutral	After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .
negative	In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .
neutral	Scanfil expects net sales in 2008 to remain at the 2007 level .
neutral	Besides , Pit-Produkt will enter the new segments .
neutral	In today s business , you have to pre-empt what consumers want , said Mohammed Zainalabedin , General Manager , Zain Bahrain .
neutral	Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares .
neutral	At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .
neutral	The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .
positive	The Bristol Port Company has sealed a one million pound contract with Cooper Specialised Handling to supply it with four 45-tonne , customised reach stackers from Konecranes .
neutral	Nordstjernan will make the offer in approximately one month , in September 2007 .
neutral	Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .
neutral	Construction is expected to be completed in the summer of 2011 .
neutral	As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires .
negative	Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .
neutral	Castecka said the town hall would hold talks with other investors interested in the zone .
neutral	Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .
neutral	INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .
negative	Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??
neutral	Marubeni has participated in GHG - Green House Gas - emission reduction projects overseas , obtained emissions credit from its projects and has provided these to Japanese clients .
neutral	Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .
neutral	The program included operational improvements and reductions in personnel , mainly in the Netherlands .
neutral	GET MIDNIGHTTRADER IN REALTIME : This report is delayed .
positive	Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .
neutral	The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .
neutral	1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .
neutral	Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .
neutral	Neither of the companies use genetically engineered soy at the moment .
positive	Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .
